Tieton,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Lynnwood,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,NISSAN-LEAF
Bothell,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,TOYOTA-PRIUS PRIME
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TOYOTA-BZ4X
Suquamish,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,KIA-EV6
Bothell,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Tumwater,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Kingston,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Tumwater,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,KIA-SORENTO
Edmonds,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,VOLKSWAGEN-E-GOLF
Bainbridge Island,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Port Orchard,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,NISSAN-LEAF
Bremerton,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,KIA-NIRO
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Lacey,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-X5
Auburn,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,FORD-ESCAPE
Lacey,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Bothell,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,HONDA-CLARITY
Poulsbo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Lacey,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Lacey,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL 3
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Port Orchard,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,AUDI-A3
Tumwater,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-330E
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Tieton,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,TOYOTA-RAV4 PRIME
Yakima,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Lacey,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,FORD-F-150
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Duvall,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Lacey,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,AUDI-E-TRON
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BMW-I4
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Kingston,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,FORD-FUSION
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,FORD-C-MAX
Brier,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BMW-IX
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,TOYOTA-RAV4 PRIME
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Silverdale,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Lynnwood,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,AUDI-Q5 E
Bothell,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seattle,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-X5
Tumwater,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Issaquah,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Kent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Yakima,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Kingston,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Yakima,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Port Orchard,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Mount Vernon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,KIA-SOUL EV
Everett,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Langley,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Kent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Monroe,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Mukilteo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Brier,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Renton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PORSCHE-TAYCAN
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,KIA-EV6
Cheney,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Royal City,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bainbridge Island,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seatac,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Kingston,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-GRAND CHEROKEE
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Snohomish,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,RIVIAN-R1S
Wenatchee,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Poulsbo,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,AUDI-Q5 E
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,HYUNDAI-KONA
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Snoqualmie,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Bremerton,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,TOYOTA-PRIUS PRIME
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,FORD-FUSION
Pullman,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CHEVROLET-BOLT EUV
Bainbridge Island,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Everett,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-530E
Seattle,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,KIA-NIRO
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
La Conner,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Lacey,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Port Orchard,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Marysville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,POLESTAR-PS2
Bothell,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL 3
Edmonds,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,RIVIAN-R1T
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,FORD-MUSTANG MACH-E
Pullman,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,RIVIAN-R1T
Arlington,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,VOLVO-XC60
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Burlington,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Oak Harbor,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,FORD-FUSION
Sedro-Woolley,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Mill Creek,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Woodway,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,RIVIAN-R1S
Bow,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Port Orchard,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Sultan,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,DODGE-HORNET
Kingston,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,VOLVO-XC40
Monroe,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Renton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Mukilteo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,MITSUBISHI-I-MIEV
Moses Lake,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Cle Elum,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Everett,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,AUDI-Q5 E
Walla Walla,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Quincy,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,TOYOTA-PRIUS PRIME
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Walla Walla,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Lynnwood,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,KIA-SORENTO
Langley,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Poulsbo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Everett,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,KIA-NIRO
Kirkland,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-X3
Greenbank,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Lynnwood,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Mount Vernon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Lynnwood,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Pullman,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Arlington,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Poulsbo,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-330E
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Yelm,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Addy,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Oak Harbor,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,VOLVO-XC90
Lynnwood,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Edmonds,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Wapato,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Clinton,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,KIA-NIRO
Bothell,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Greenbank,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,KIA-NIRO
Lynnwood,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Kettle Falls,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,KIA-NIRO
Mukilteo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Walla Walla,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,VOLKSWAGEN-E-GOLF
Anacortes,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,KIA-NIRO
Oak Harbor,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Mount Vernon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Bothell,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-530E
Coupeville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Walla Walla,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Mount Vernon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Issaquah,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Freeland,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Palouse,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Spokane,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Arlington,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Granite Falls,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Pullman,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,MAZDA-CX-90
Yakima,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
